Titre;Date;Lien;Description
"Les intelligences artificielles à l'heure de la vague agentique";"Février 2026";"https://www.conseil-ia-numerique.fr/files/uploads/2026/IA%20ag%20entique%20CIANum_all.pdf";"Site du gouvernement (CIANum)"
"Le SaaS à l'ère des agents IA";"10 décembre 2025";"https://www.deloitte.com/fr/fr/Industries/tmt/perspectives/technology-media-and-telecom-predictions/2026/saas-ai-agents.html";"Deloitte, écrit par Stéphane Villard (Expert TMT)"
"IA 2026 - Les 9 tendances qui vont exploser cette année !";"1er janvier 2026";"https://huggingface.co/blog/RDTvlokip/les-9-tendances-qui-vont-exploser-cette-année";"Hugging Face, Théo Charlet"
"AI security emerges as the next cybersecurity theme";"20 mars 2026";"https://www.wisdomtree.eu/fr-fr/blog/2026-03-20/ai-security-emerges-as-the-next-cybersecurity-theme";"WisdomTree et Team 8 (Sécurité)"
"Monitoring des agents IA : le défi qui attend tous les RSSI";"24 mars 2026";"https://www.cio-online.com/actualites/lire-monitoring-des-agents-ia-le-defi-qui-attend-tous-les-rssi-16924.html";"CIO Online : Sécurité et monitoring des agents"
"SAP lance SAP Sovereign Cloud en France";"19 mars 2026";"https://news.sap.com/france/2026/03/sap-lance-sap-sovereign-cloud-en-france-en-partenariat-avec-bleu-2/";"Presse officielle SAP"
"La Côte-d'Or inaugure son cloud souverain";"11 février 2026";"https://www.lefigaro.fr/secteur/high-tech/la-cote-d-or-inaugure-son-cloud-souverain-une-premiere-pour-un-departement-francais-20260211";"Le Figaro"
"Souveraineté numérique : La France accélère et s'impose";"Décembre 2025";"https://www.pwc.fr/fr/espace-presse/communiquesde--presse/2025/decembre/souverainete-numerique.html";"PwC (Audit et conseil)"
"Cloud souverain: pourquoi l'autonomie technologique totale est une illusion";"16 février 2026";"https://www.zdnet.fr/actualites/cloud-souverain-pourquoi-lautonomie-technologique-totale-est-une-illusion-selon-capgemini-490183.htm";"ZDNet (Capgemini)"
"Designing serverless AI architectures - AWS";"17 février 2026";"https://docs.aws.amazon.com/fr_fr/prescriptive-guidance/latest/agentic-ai-serverless/designing-serverless-ai-architectures.html";"Documentation AWS"
"New Relic AI Impact Report 2026";"26 janvier 2026";"https://newrelic.com/blog/ai/new-relic-ai-impact-report-2026";"New Relic (Monitoring)"
"Get started with Serverless AI Chat using LlamaIndex";"30 janvier 2026";"https://learn.microsoft.com/fr-fr/azure/developer/javascript/ai/get-started-app-chat-template-llamaindex";"Microsoft Learn"